title,director,cast,country,release_year,rating,duration,listed_in,description,platform
The Z Virus,,Freddie De Grate,United States,2017,18+,1,"Action, Science Fiction","The Z Virus is an apocalyptic TV series of survival when a deadly virus from a meteor turns the earth into a zombie infested world no one could have imagined. The Johnson's, a dooms day family and a rag tag group of survivors have found their way onto the Johnson's ranch on Catalina Island off the coast of California after a meteor strike that begins a zombie apocalypse.",Amazon Prime
Playtime with Twinkle - Cartoons for Kids (Made by Little Baby Bum),,,United States,2021,ALL,2,Kids,"Twinkle is always on the go, she is very cheeky. Her values are Compassion, Empathy and Kindness. In this collection, learn all about colors, numbers and much more!",Amazon Prime
Double Tap,,"Duan Yihong, Da Peng",United States,2021,18+,1,Drama,A police detective investigating the kidnapping of elementary school students becomes involved in the intricate network of the underworld. Beijing policeman Li Hui Yan has gone alone to a small town in Dongbei due...,Amazon Prime
Dinner Club,,"Diego Abatantuono, Fabio De Luigi, Pierfrancesco Favino, Sabrina Ferilli, Luciana Littizzetto, Valerio Mastandrea, Carlo Cracco",Italy,2021,TV-G,1,"Adventure, Comedy, Unscripted","The rules of Dinner Club: you have to love food, good company and traveling. Carlo Cracco will undertake six trips across Italy to rediscover its most authentic cuisine. With him six famous actors: one for each destination. His challenge on the way back? He will have to teach each of them how to cook a perfect dinner. Here good food will tell six stories: those of their travel, and life.",Amazon Prime
AWS DeepRacer TV,,Blaine Sundrud,United States,2019,ALL,1,"Documentary, Special Interest","AWS DeepRacer TV follows the world's first autonomous racing league, an AWS / Intel-sponsored reinforcement learning competition that features developers of every background and skill level hoping to qualify for a chance to win the Championship Cup at AWS re:Invent 2019. Build, Train, Tune, Race!",Amazon Prime
ACT 2 - Series 9,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
ACT 2 - Series 7,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
ACT 2 - Series 8,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
Act 2 - Series 4,,1,United States,2021,ALL,2,Action,2,Amazon Prime
Act 2 - Series 3,,1,United States,2021,ALL,2,TV Shows,2,Amazon Prime
Act 2 - Series 2,,1,United States,2021,13+,2,Action,2,Amazon Prime
ACT 2 - Series 10,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
Act 2 - Series 1,,1,United States,2021,ALL,2,TV Shows,1,Amazon Prime
True Tori,,"Tori Spelling, Dean McDermott",United States,2014,TV-14,1,TV Shows,"In True Tori, Tori Spelling has made a courageous decision to let audiences into her home as her marriage to Dean McDermott falters. Going through the most difficult period in her life, Tori will tell her story for the first time. Only time will tell if Tori and Dean's marriage survives.",Amazon Prime
Pinkfong! Healthy Habit Songs,,,United States,2021,ALL,1,"Animation, Kids","Sing with Pinkfong and learn how to form healthy habits. From teamwork to regulating emotions, Pinkfong and friends will guide your children to be a healthy kid!",Amazon Prime
The Cat in the Hat Knows a Lot About That!,,Martin Short,United States,2018,TV-G,2,"Animation, Kids","This series follows the adventures 6-year-old best friends, Sally and Nick, as they are whisked off on extraordinary voyages of scientific discovery with the Cat in the Hat. In the Cat's Seussian vehicle, the Thinga-ma-jigger, they fly, float, rocket, and shrink down to the size of a bee to explore natural wonders from the bottom of the ocean to the treetops of the rain forest.",Amazon Prime
Preacher,,,United States,2019,TV-MA,4,TV Shows,"As our story inches closer to the finale, God's endgame for the universe begins to click into place. Trapped between heavenly prophecies, hellish prisons, and all-out nuclear war, Jesse, Tulip, and Cassidy make their bloody way to the Most High. Whether they can reach God in time – or whether all this carnage is part of His divine plan – will soon be revealed as Preacher barrels towards the end..",Amazon Prime
F2 Kicks Off,,"Billy Wingrove, Jeremy Lynch, Wretch 32, Tom Chilton, Harvey (So Solid Crew), Darren Bent, 3Run Parkour, Bayo Aakinfenwa, Matti Hemmings, Tinchy Stryder, Lethal Bizzle, Golf Trickshot Boys, Ryan Tricks, Anthony Costa, Bashy, Jamie Squibb, Harlequins Rugby",United States,2014,7+,1,Documentary,"'F2 Kicks Off' is the F2's journey through their city, their home and the place where everything for them began. In their first television series, Billy Wingrove and Jeremy Lynch journey across London, pulling off unbelievable feats of skill and breathtaking stunts astonishing everyone they meet, whether international footballers, chart topping musicians, or the everyday people of London.",Amazon Prime
Blippi - Blippi's Educational Adventures for Kids,,,United States,2020,ALL,5,Kids,"Blippi is an educational kids show tailored for children ages 2- 5 years old. Join Blippi as he embarks on an adventurous journey to an animal shelter, baseball stadium, indoor playground, and many more! Kids will learn colors, shapes, numbers, the letters of the alphabet and so much more with Blippi's wonderful videos for kids!",Amazon Prime
Intrusion,,"Marco Infante, Keenan Henson, Benjamin Adams, Gabriel Gonzales, Jacqueline Marie Alberto",United States,2021,18+,1,Action,"After a security guard, named Joe, accidentally becomes entangled in the city's largest underground drug operation his life is turned upside down. He is held prisoner by ruthless mercenaries in order to obtain control of the city. Luckily, the LAPD has two of their finest detectives picking up the pieces and solving the puzzle along the way.",Amazon Prime
Advancements,,Ted Danson,United States,2021,13+,1,Special Interest,"Hosted by Ted Danson, Advancements is an educational series dedicated to informing the public about the latest innovations taking place today. Exploring the significant issues impacting society, our producers discover the practical solutions and best kept secrets to raise social awareness and solve global problems.",Amazon Prime
#WASHED,,"Byron Hardy, Nadirah Shakir, Ashlee Lee, Dennis Raveneau",United States,2020,18+,1,"Comedy, Drama","2021 Daytime Emmy nominee. Desperate, pressed and #WASHED up, a group of aging millennials attain everything they NEVER wanted in pursuit of their dreams. Created by 2x regional Emmy Winner Jerod Couch.",Amazon Prime
Titipo Titipo,,,United States,2021,ALL,1,"Animation, Kids","Titipo is the new train who just became official passenger train in town. He gets to meet a lot of train, bus and other vehicle friends and start to operate from the station. He may be little bus he's ready to be a safe and brave train.",Amazon Prime
Love Story of Court Enemies,,"Wu Jia Yi, Zhao Yi Qin, Han Jiu Nuo",United States,2021,13+,1,"Drama, Romance","The story is set in the Yuan year of the Yongzheng era. In the time of chaos, Yu Xing and her sister Cai Feng were separated. When Yu Xing knew that Cai Feng had entered the palace as a consort candidate, she decides to follow suit as a chef trainee. Her culinary skills deeply impressed the Emperor, and she was quickly promoted through the ranks.",Amazon Prime
I Know What You Did Last Summer,,"Madison Iseman, Brianne Tju, Ezekiel Goodman, Ashley Moore, Sebastian Amoruso",United States,2021,TV-MA,1,"Drama, Horror, Young Adult Audience","I Know What You Did Last Summer is a murder mystery and modern coming-of-age story, all in one. In a sun-soaked Hawaiian town with a mysterious past, a group of friends is left with a dark secret after a tragic accident. One year later, a member of the group receives a threatening message, and the friends now know that someone intends to make them pay for last summer.",Amazon Prime
Disraeli: Portrait of a Romantic,,"Ian McShane, John Carlisle",United States,1978,13+,1,Drama,"Lavish political drama. A penetrating look at one of British history's most enigmatic and controversial figures, Benjamin Disraeli - a dandy, a womaniser and a Jew. Taking his seat in Parliament at the age of 32, Disraeli (Ian McShane) is nearly laughed out of the House by his rival Gladstone, and thus begins an animosity spanning over 50 years.",Amazon Prime
Savage X Fenty Show,,"Rihanna, Nas, Daddy Yankee, Bia, Jazmine Sullivan, Ricky Martin, Erykah Badu, Nyjah Houston, Normani",United States,2021,16+,3,Unscripted,"Rihanna’s Emmy nominated Savage X Fenty Show Vol. 3 is an immersive fashion experience that combines fashion, dance, and music with iconic architecture and unforgettable performances. Featuring an all-star cast debuting the latest Savage X Fenty styles, the show is a visually stunning cultural moment that redefines sexy.",Amazon Prime
News Anchor,,"Pallavi Singh, Sunil Pal, Mustak Khan, Javed Haider, Vani Dogra, Chandan Kumar Sinha, Rohit Kumar, Yash Deep, Afridi Saood, Manish Kasana, Nanad Kumar",United States,2021,16+,1,Drama,"Maya, a news reporter by profession, meets Rahul at a party. Rahul finds her attractive and approached her to make a relationship. Maya also shows interest but the story takes a turn when Maya kills Rahul. Maya reports the murder on the news channel even before the police arrive at a crime scene. Is she doing this just to get a promotion in her job?",Amazon Prime
Jessy & Nessy,,"Sophie Feldman, Jamie Buchanan, Alexa Bauer, Carter Bellaimey, Carla Bourke, Ethan Bourke, Vincent Brimble, Allegra Cnockaert, Shauna Cullen, Éabha Farrell, Kieran Farrell, Charlie Feighery, Tiago Gil Batista, David Keegan, Shai Matheson, Ivy Mcdonnell, Naomi Mcdonald, Paula Mcglinchey, David Menkin, Clementine Milward, Aline Mowat, Gordon Quigley, Sophie Rice, Alan Shannon, Faye Stedman - Shannon, Janet Spencer Turner, Paul Tylak, Andres Williams",United States,2021,TV-G,4,Kids,"Jessy and Nessy is a series about Jessy, an innately curious little girl and her best friend, Nessy, a five-and-a-half-thousand-year-old purple sea monster. Jessy happens to see the world a little differently through her magical glasses called ‘Inspectacles’. Together this unlikely duo explore life’s curiosities and reveal how all of these seemingly everyday curiosities have fantastical answers.",Amazon Prime
I Can See You: Truly Madly Deadly,,"Jennylyn Mercado, Dennis Trillo, Rhian Ramos",United States,2020,13+,1,"Horror, Suspense","After her affair with a married man unravels, a woman leaves the city for a remote resort, where she meets a man who turns her life upside down.",Amazon Prime
Cross Minds,,"Abhimanyu Mahaveer, Rithikaa, Pruthvi",United States,2021,13+,1,"Action, Drama, Suspense","A tale of an ethical risk taker who wants to surprise his life partner, but a series of mysterious events drives him through an unethical venture.",Amazon Prime
Baby Shark Brooklyn,,,United States,2021,ALL,1,"Animation, Kids","A massive underwater earthquake sweeps the Shark Family to the opposite side of the ocean! For Baby Shark Brooklyn, who is curious about everything, this new place is an adventure playground. In a new home, Brooklyn makes new friends, and they explore the village together. When they face problems big or small, their different characteristics create synergy and help them overcome hardships.",Amazon Prime
Toddler Fun Learning - Educational Videos for Kids,,,United States,2021,ALL,3,Kids,"Toddler Fun Learning makes fun, free and educational videos, nursery rhymes, stories and songs for toddlers all over the world. In this collection you can learn about numbers, animals, colors and much more!",Amazon Prime
